question_id,question,answer
1,"[Question]: 2.  Battery life has been measured as normally distributed with a mean  equal to 150 hours and a variance of 400 hours. Find the B10 life.

[Choices]: [a] 128.1 hrs  | [b] 124.4 hrs  | [c] 122.6hrs | [d] 110hrs",b
2,"[Question]: 3.  Failure rate data is acquired from MIL-HDBK-217 for reliability  modeling of a new circuit board design. The failure rate for the entire  circuit board is acquired by summing the MIL-HDBK-217 failure rates for  each component on the circuit board. The most likely assumptions made by  the engineer for this analysis are that individual component failure  rates are _____ with time and are modeled in a ______ configuration. 

[Choices]: [a] Constant; series  | [b]  Decreasing; series | [c]  Increasing; series | [d]  Constant; parallel",a
3,"[Question]: 4.  Each of the following test acceleration models is most often  used with only one varying stress type, except for which?

[Choices]: [a] Arrhenius | [b] Coffin-Manson | [c] Inverse Power Law  | [d] Eyring",d
4,"[Question]: 6.  Suppose that six bad golf balls get mixed up with eight good  golf balls. If two balls are drawn simultaneously, what is the  probability that both are good? 

[Choices]: [a]  0.1563  | [b]  0.3077 | [c]  0.2857 | [d]  0.3956",b
5,"[Question]: 7.  Which of the following choices is the best type of control chart for  depicting the average number of defects found in a particular make and  model of a refrigerator?

[Choices]: [a]  X-bar and R-chart | [b]  np chart | [c] A normal curve  | [d] U chart",d
6,"[Question]: 8.  Sample Variance of resistance for the 20-unit sample of electronic  components was 4 ohms. 95% confidence interval for the population  variance is: 

[Choices]: [a] 2.31  $ \leq $   $ \sigma $ 2  $ \leq $  8.53  | [b] 2.93  $ \leq $   $ \sigma $ 2  $ \leq $  10.43 | [c] 2.52  $ \leq $   $ \sigma $ 2  $ \leq $  7.51 | [d] 3.18  $ \leq $   $ \sigma $ 2  $ \leq $  9.21",a
7,"[Question]: 9.  A product has been produced for many years with an average yield of 85%  (That 85% is a lower 95% confidence limit). Ten batches were produced  using a new raw material with a sample average yield of 86% and a  standard deviation of 1%. At the 95% confidence level, the data indicate  the average yield is: 

[Choices]: [a] less than the sample average yield of 86% and is statistically different  | [b] greater than the sample average yield of 86% and is statistically different | [c] greater than the sample average yield of 86% and statistically there is no difference | [d] less than the sample average yield of 86% and statistically there is no difference",a
8,"[Question]: 10.  50 samples of an electronic component selected at random at incoming  inspection measures an average resistance of 10 ohms and a standard  deviation of 2 ohms. 95% confidence interval for the population mean is:

[Choices]: [a] 9.53 $ \leq $   $ \mu $  $ \leq $  10.47 | [b] 8 $ \leq $   $ \mu $  $ \leq $  12 | [c] 6 $ \leq $   $ \mu $  $ \leq $ 14  | [d] 9.43 $ \leq $   $ \mu $  $ \leq $  10.57",d
9,"[Question]: 1. Use the exponential distribution with MTTF=50,000 hrs.. What is the time to 10% failure?

[Choices]: [a] 5000 hrs  | [b] 5268 hrs   | [c] 5450 hrs | [d]  5333 hrs",b
10,"[Question]: 3. You are asked to construct a Zero failure test for a redesigned ball bearing(   $ \beta $ =2.5) that the design folks believe should have an    $ \eta $ =1000hrs.  Program Mgmnt wants you to use only 5 tests. How long  should you test these five samples to be 90% confident that the ball  bearing design is better than 1000hrs? 

[Choices]: [a] 733hrs,   | [b] 851hrs | [c] 975hrs | [d] 1500.hrs",a
11,"[Question]: 6. A bearing manufacturer has a bearing with Weibull  $ \beta $ =2      and  $ \eta $ =600 hrs. The design team made a small change  in     the design and a change of material. They now hope  they     have doubled the characteristic life at  95% confidence. They tested 10 of the new design bearings for 1800 hrs  and Had 5 failures : 700, 900, 1000, 1100, and 1300 hrs. Did the new  bearing design have 2X the characteristic life With 95% confidence? 

[Choices]: [a] YES  | [b] NO",a
12,"[Question]: 7.  For a certain 3-engine airplane, at least two out of its three engines  must function. The engine reliability at time t is 0.995. Find the  probability that the airplane flies successfully for T hours, assuming  identical and independent engines.

[Choices]: [a] 0.9998 | [b] 0.985 | [c] 0.99945  | [d] 0.999925",d
13,"[Question]: 1. Which of the following is NOT true about the Taguchi DOE approach?I. It includes the concept of loss function in factorial experiments.II. It assumes losses occur when a process fails to meet a target value.III. It assumes losses are due to variability within the process.IV. It assumes that the loss function is a step function relative to the specification limits.

[Choices]: [a] I only | [b] II only | [c] III only  | [d] IV only",d
14,"[Question]: 2. In general, reliability testing is performed for which of the following reasons?I. To detect unanticipated failure modes.II. To compare estimated failure rates to actual failure rates.III. To monitor reliability growth over time.IV. To meet or exceed customer expectations.

[Choices]: [a] I and III only | [b] II and IV only | [c] I, II and III only  | [d] I, II, III and IV",d
15,"[Question]: 3. The time to failure of a component is Weibull distributed,  $ \beta $ =0.5,  $ \eta $ =10,000 hours.What is the probability that the component will still be operational after one year? 

[Choices]: [a] 0.3922  | [b] 0.3214 | [c] 0.3680 | [d] 0.6320",a
16,"[Question]: 4. Seventy-two bearings are available for life testing. To save test time they are divided into six groups of twelve bearings and tested using thesudden-death technique. The Resultant Data is :   Group 1: Bearing #3 fails at 110 hrsGroup 2: Bearing #4 fails at75 hrsGroup 3: Bearing #11 fails at 165 hrsGroup 4: Bearing #5 fails at 310 hrsGroup 5: Bearing #7 fails at 210 hrsGroup 6: Bearing #12 fails at 270 hrs. Assuming that the bearing life follows a Weibull distribution, what is the 0.90 Reliability of the bearing population?

[Choices]: [a] 69 hrs | [b] 79 hrs  | [c] 241 hrs  | [d] 120 hrs",c
17,"[Question]: 6.  A first prototype for a novel laser-powered sausage slicer is built.  Failures occur at the following numbers of minutes: 1.1, 3.9, 6.2, 17.8,  79.7, 113.1, 206.4 and 239.1. After each failure, the design is refined  to avert further failures from the same mechanism. Determine the  reliability grown coefficient  $ \beta $  for the slicer. 

[Choices]: [a] 0.34  | [b] .93 | [c] 1.31 | [d] 1.15",a
18,"[Question]: 7.  Brand X aircraft manufacturing company has a backup control system that  operates independently of the primary control. Each of the systems has a  probability of 0.01 of failing on a particular mission.What is the probability of at least one system functioning properly? 

[Choices]: [a] 0.9999  | [b] 0.9801 | [c] 0.9808 | [d] 0.99999",a
19,"[Question]: 8.  While the AMSAA-Duane model is N(t)= $ \\lambda $ t $ \\beta $  ; the model can be rearranged  in a number of ways to satisfy a customer\u951f\u65a4\u62f7s demands for reporting. Which  of the following functions could be used for plotting cumulative  Failure rate and Cumulative MTBF:
I. $ F(t) = \lambda t^{\beta-1} $ 
II. $ F(t) = \lambda \beta t^{\beta-1} $ 
III. $ F(t) = (\frac{1}{\lambda}) t^{1-\beta} $ 
IV. $ F(t) = (\frac{1}{\lambda \beta}) t^{1-\beta} $

[Choices]: [a] I. &amp; II  | [b] I. &amp; III.  | [c] II. &amp; IV. | [d] II. &amp; III.",b
20,"[Question]: 9.  In constructing programs for environmental stress screening(ESS), the  selection of the stress levels and the choice of exposure times is a  challenging task. Which of the following are true:I. ESS is not a test. ESS is a screening process II. ESS is not Burn-in, ESS stresses a product to operational extremesIII. ESS is used in manufacturing/production to catch latent failures. IV. All items in a product line should be exposed to ESS.

[Choices]: [a] I., II., IV. | B.I.,III., IV. | [c] II., III., IV.  | [d] I.,II.,III.,&amp; IV.",d
21,"[Question]: 10.  A test was done on ultrasonic inspection kits to determine how  effective they are in discovering microscopic cracks in aircraft parts.  When a crack was present, the equipment signaled a crack 98% of the  time. There was a ��false alarm�� on 3% of the parts which had no cracks.  Suppose five percent of all the parts have a crack in them. If the  percentages in the test can be assumed to be the true probabilities,  find the probability that a part is really bad when a kit signals a  crack.

[Choices]: [a] 0.9215 | B.0.9225.  | [c] 0.6322.  | [d] 0.7533.",c
22,"[Question]: 1. A computer chip manufacturer averages 7 defects per chip. What is the probability of a chip containing less than 3 defects? Choose a plausible distribution by yourself by adding least additional assumptions on parameter values.

[Choices]: [a] 0.00638 | [b] 0.02234  | [c] 0.02963  | [d] 0.02872",c
23,"[Question]: 2. Given the following data: (where (-) indicates censored) -309,229,386,-104,180,-217,-167,168,122,138Determine the best fit Weibull parameters  $ \beta $ , $ \eta $ , t0?

[Choices]: [a]  $ \beta $ =2.76, $ \eta $ =261.1, t0= 0.0  | [b]  $ \beta $ =0.88, $ \eta $ =147.86, t0=113.76  | [c]  $ \beta $ =2.61, $ \eta $ =278.2, t0=85. | [d]  $ \beta $ =1.53, $ \eta $ =183, t0= 0.03  .",b
24,"[Question]: 4. Which of the following can be prevented with Preventive maintenance:I. Handling Damage, II. Poor Quality Control, III. Improper installation, IV. Inadequate design

[Choices]: [a] I &amp; III,  | [b] I, II &amp; III  | [c] None of the above | [d] All of the above",b
25,"[Question]: 5.  You are developing a new product. To effectively market this product  the failure rate of your product must be 1/1000 hours or less. In  testing to date, you have experienced failures at 30 hours, 600 hours,  1400 hours and 2500 hours. How much more testing (and fixing) is  required? 

[Choices]: [a] 2000hrs,  | [b] 2500hrs | [c] 4500hrs | [d] 5000hr",a
26,"[Question]: 6. The Product Development Maturity Path consists of 5 Phases: Continuously Improve, Launch, Streamline, Stabilize, and Standardize Place them in order:

[Choices]: [a] Continuously Improve, Launch, Streamline, Stabilize, and Standardize | [b] Launch, Streamline, Stabilize, Standardize, and Continuously Improve | [c] Launch, Stabilize, Streamline, Standardize, and Continuously Improve  | [d] Launch, Stabilize, Standardize, Streamline, and Continuously Improve",d
27,"[Question]: 7. What is the Best time for Reliability Test Planning?

[Choices]: [a] Production phase,  | [b] Early stage of the product development phase,  | [c] Before the production phase | [d] Field return failure analysis phase",b
28,"[Question]: 1. Compared to quality, reliability engineering is more concerned with :I. . Failure rate over time.II. . Manufacturing errors.III. . Defective rate at a point in time.IV. . Product design.

[Choices]: [a] I and II only | [b] II and III only | [c] I, II, III and IV  | [d] I and IV only",d
29,"[Question]: 5.  A supplier of parts claims it has a manufacturing process in which 90%  of parts are defect free. To check this theory, a customer randomly  samples 25 parts and finds seven that are defective. If the supplier��s claim is true, what is the probability that 7 or more of the 25 sampled parts are defective? (Assume Binomial)

[Choices]: [a] 0.9977 | [b] 0.9905  | [c] 0.009476  | [d] 0.0022616",c
30,"[Question]: 9. When prioritizing actions to be taken in an FMEA, which of the following priority rankings should be considered first? 

[Choices]: [a] Overall RPN (Risk Priority Number)  | [b] Highest severity ranking  | [c] Highest occurrence ranking",b
31,"[Question]: 1. Battery life has been measured as normally distributed with  mean equal to 150 hours and variance of 400 hours. Find the B10 life. 

[Choices]: [a] 124.4 hrs  | [b] 175.6 hrs",a
32,"[Question]: 2. How should a Reliability Engineer react when a corrective action was rejected by management?

[Choices]: [a] Insist the corrective action must be implemented, | [b] Implement corrective action by oneself,  | [c] Agree with management and document the findings,  | [d] Agree with management and discard the findings",c
33,"[Question]: 3.  Among the various reliability tests that are performed on products at  various stages of development, which of the following tests are most  useful in determining the minimum mean time to failure requirements:1) Reliability growth testing,2) Environmental stress screening,3) Reliability qualification testing,4) Acceptance testing

[Choices]: [a] 1&amp;2, | [b] 2&amp;3,  | [c] 3&amp;4,  | [d] 4&amp;1",c
34,"[Question]: 1. A system made up of 5 series components has a design  reliability of .96. Subsequently, 4 of the components have reliabilities  apportioned to them of 0.992, 0.991, 0.994, and 0.992. What should the  reliability apportionment for the 5th subsystem be?

[Choices]: [a] 0.970 | [b] 0.969   | [c] 0.990   | [d] 0.992",c
35,"[Question]: 3.  10 units have entered the field in the last two months with current  times (hours): 25, 33, 40, 45, 50, 60, 64, 75, 80, 99. Failure distribution   $ \beta $ =3.02,  $ \eta $ =88 (hours) What is the expected number of units predicted to fail over the next 5 hours?

[Choices]: [a] 5.44 | [b] 6.44  | [c] 7.44   | [d] 8.44",c
36,"[Question]: 4.  Five motors are run to failure. Failure times are (in hours):  632,3450,816,928,150. Assuming an exponential distribution, what are the  90% confidence bounds for the MTTF?

[Choices]: [a] 1051, 1942 | [b] 847, 2650 | [c] 347, 3747  | [d] 653, 3034",d
37,"[Question]: 6.  There is a contractual requirement to demonstrate with 90% confidence  that a vehicle can achieve a 100-km mission with a reliability of 99%.  The acceptance test is performed by running 10 vehicles over a 50,000-  km test track. What is the contractual MTTF?

[Choices]: [a] 5000 km  | [b] 9950 km  | [c] 8525 km | [d] 1950",b
38,"[Question]: 7.  The one-month reliability on an indicator lamp is 0.95 with the failure  rate specified as constant. What is the probability that more than two  spare bulbs will be needed during the first year of operation? (Ignore  replacement time.)

[Choices]: [a] 0.1026  | [b] 0.0246  | [c] 0.6155 | [d] 0.127",b
39,"[Question]: 8.  A part for a marine engine with a constant failure rate has an MTTF of  two months. If two spare parts are carried, What is the probability of  surviving a six-month without losing the use of the engine as a result  of part exhaustion?

[Choices]: [a] 0.1026  | [b] 0.0246  | [c] 0.6155 | [d] 0.127",b
40,"[Question]: 10. Find the variance in the time to failure, assuming a constant failure rate  $ \lambda $ , for two units in active parallel.

[Choices]: [a] 2/3 $ \lambda $  | [b] 3/2 $ \lambda $  | [c] 3/4 $ \lambda $ 2  | [d] 5/4  $ \lambda $ 2",d
41,"[Question]: 1. The usual consequences of management assuming human error as the ��root cause�� of a failure is

[Choices]: [a] Repeat of the same failure | [b] Disciplinary action for the employee | [c] Less productivity  | [d] All of the above",d
42,"[Question]: 2. ��Burn-in�� testing is conducted on electronic assemblies for systems to:

[Choices]: [a] Establish system failure rate. | [b] Extend product life | [c] Increase the total number of failure occurrences.   | [d] Minimize early life failure occurrences.",d
43,"[Question]: 3.  When testing to establish failure rate and reliability predictions,  which of the following is not normally a feasible acceleration factor  with respect to rated conditions: 

[Choices]: [a] Longer time  | [b] Greater humidity | [c] Higher temperature | [d] Higher voltage",a
44,"[Question]: 5. What is meant by ��Fail Safe Design��? 

[Choices]: [a] Designed such that a failure will not adversely affect the safe operation of the system   | [b] Designed such that the failure probability is low if the system is operated safely. | [c] Designed such that the system cannot fail if operated safely, | [d] All of the above",a
45,"[Question]: 6. Humans will perform tasks more reliably if:1. They understand what is required and why2. The task is challenging and complex 3. Pressure is applied which penalizes failure 4. There are incentives for quality 

[Choices]: [a] 1 only   | [b] 1 &amp; 2 | [c] 1 &amp; 3 | [d] 1 &amp; 4",a
46,"[Question]: 7. Five items were placed on test, one item failed after 42 hrs, and the remaining four items were removed after 50 hrs. It is known that the time to failure for these items follows a Weibull with  $ \beta $ =2.2. Determine the 95% lower confidence limit for the characteristic life.

[Choices]: [a] 13.5 hrs | [b] 39.8 hrs   | [c] 49.7 hrs.   | [d] None of the above",c
47,"[Question]: 9. A failure PDF for Lawn mower engine is assumed to be a Weibull distribution with  $ \beta $ = 4.5 and  $ \eta $  = 9.3 years. What is the design life at a reliability of 90%?

[Choices]: [a] 4.82 yrs   | [b] 5.64 yrs   | [c] 6.66 yrs | [d] 3.35 yrs",b
48,"[Question]: 10.  An engineer just ran 50 compressor start tests with no failures, he  needs to pass the customer��s requirement of 80% confidence of 0.90  reliability. Has he done that? 

[Choices]: [a] Yes   | [b] Almost | [c] No way",a
49,"[Question]: 2. The distribution used to describe the time between failures which occur independently and at a constant rate, is the:

[Choices]: [a] Log normal. | [b] Weibull. | [c] Gamma. | [d] Exponential.",d
